config,seed,layer,relative_residual,mean_cosine
vanilla,0,15,0.7626567482948303,0.35053712129592896
vanilla,0,16,0.7651166915893555,0.3561080992221832
vanilla,0,17,0.7400363683700562,0.3686467111110687
vanilla,0,18,0.7264169454574585,0.37322819232940674
vanilla,0,19,0.710891604423523,0.3988282382488251
vanilla,0,20,0.6913231015205383,0.4222232401371002
vanilla,0,21,0.7097146511077881,0.4099787771701813
vanilla,0,22,0.7046035528182983,0.40932145714759827
vanilla,0,23,0.6914852261543274,0.4205423593521118
vanilla,0,24,0.6682666540145874,0.43531280755996704
vanilla,1,0,0.9080540537834167,-0.0015562799526378512
vanilla,1,1,0.880985677242279,0.02484043687582016
vanilla,1,2,0.8729052543640137,0.054825559258461
vanilla,1,3,0.9038760662078857,0.09760189056396484
vanilla,1,4,0.885055661201477,0.12155851721763611
vanilla,1,5,0.8779568672180176,0.13502654433250427
vanilla,1,6,0.8533505201339722,0.1587921530008316
vanilla,1,7,0.8474528789520264,0.1792861521244049
vanilla,1,8,0.8739190101623535,0.1958523392677307
vanilla,1,9,0.8419901728630066,0.22405900061130524
vanilla,1,10,0.8407555818557739,0.24507302045822144
vanilla,1,11,0.8177993297576904,0.2536662518978119
vanilla,1,12,0.8150472044944763,0.28015148639678955
vanilla,1,13,0.7963176369667053,0.3106886148452759
vanilla,1,14,0.780235230922699,0.33132052421569824
vanilla,1,15,0.772973358631134,0.3655632734298706
vanilla,1,16,0.7729835510253906,0.37657395005226135
vanilla,1,17,0.7392379641532898,0.3990369141101837
vanilla,1,18,0.7473008632659912,0.398511677980423
vanilla,1,19,0.7320387363433838,0.4264937937259674
vanilla,1,20,0.7453973889350891,0.4564206898212433
vanilla,1,21,0.7465767860412598,0.45850786566734314
vanilla,1,22,0.749182939529419,0.4691064655780792
vanilla,1,23,0.7395716309547424,0.49701109528541565
